,telework_score,percent_freq_or_always_mask_use,percent_republican_2016_pres,population_total,percent_uninsured,percent_below_poverty_line,percent_households_more_people_than_rooms,percent_racial_minority,percent_without_high_school_diploma,percent_over_65,population_density,distance_traveled_from_home_percent_increase_jan_to_april,median_home_dwell_time_percent_increase_jan_to_april,median_non_home_dwell_time_percent_increase_jan_to_april,median_percentage_time_home_percent_increase_jan_to_april,percentage_completely_home_percent_increase_jan_to_april,start_date,end_date,num_days,starting_cases_100k,ending_cases_100k,net_cases,avg_new_cases
42019,0.34629095950845395,0.841,0.6637203696263559,186566,3.5,8.3,0.8,5.1,5.4,17.7,236.580387819532,-50.42582392456522,2.0289102287987406,-861.8464478026747,21.45800316957213,41.44597468350712,2020-04-19,2020-05-30,41,86.14,122.53,36.39,0.8875609756097561
42021,0.2790515965087249,0.758,0.669996194824962,134550,4.6,15.4,1.1,7.2,8.7,21.4,195.46431065433117,-7.5441856714536115,-0.9497473149345572,-285.11705685618716,15.60283687943263,16.984640425226587,2020-04-19,2020-05-30,41,14.28,42.85,28.57,0.6968292682926829
42023,0.2529738054255866,0.7909999999999999,0.7268984446477584,4686,3.1,14.3,0.6,3.8,9.0,26.2,11.826441981969133,-31.074701954422412,-7.10964774400636,-74.5731707317073,3.5013531799729094,-15.053064406944367,2020-04-19,2020-05-23,34,21.69,43.37,21.679999999999996,0.6376470588235293
42025,0.26696685883767995,0.909,0.6513413956074506,63931,5.2,12.5,1.7,7.9,10.4,20.1,167.59550326702268,-22.762606380597123,0.3673258171514874,-433.6108028116906,13.08724832214764,21.574366555204183,2020-04-19,2020-06-06,48,219.14,388.19,169.05,3.521875
42027,0.32624026799403505,0.893,0.4632295004464989,161443,5.5,18.4,2.3,14.5,5.7,13.3,145.4622687428295,-27.494233126121692,0.9959647161920367,-415.6552583644905,20.37490265880518,28.15992332581787,2020-04-19,2020-05-23,34,45.07,88.29,43.220000000000006,1.2711764705882356
42029,0.416388833798748,0.933,0.4319717261904762,517156,5.9,6.8,1.3,20.2,6.7,15.4,689.0599298820404,-55.83683827191413,12.939439461553164,-3129.6948356807507,22.717316906228614,44.79551042251856,2020-04-19,2020-06-20,62,168.8,673.45,504.65000000000003,8.139516129032259
42031,0.2479842094085403,0.76,0.7171941830624465,38827,8.0,16.2,1.0,3.9,10.4,18.7,64.62161562675033,-8.624429049150343,-15.382207672869274,-164.91793060461254,12.391875193080015,9.673609715378351,2020-04-19,2020-05-23,34,46.49,72.32,25.82999999999999,0.7597058823529409
42033,0.2532297875191259,0.718,0.7274955501736162,80216,5.7,14.9,1.1,6.9,13.1,19.7,70.07709189475615,-27.700000109674765,-6.046972776914176,-209.51492537313442,14.588023412877073,16.124511298704576,2020-04-19,2020-05-23,34,13.77,42.55,28.779999999999998,0.8464705882352941
42035,0.25527250093894394,0.8859999999999999,0.6510328699493311,39074,7.9,17.4,1.0,4.8,11.3,18.0,44.00305563506733,-33.354690911279825,-14.324932827816195,-192.84946236559142,9.379092519836693,10.355033849477731,2020-04-19,2020-05-23,34,28.27,125.92,97.65,2.8720588235294118
42037,0.2784534469950983,0.884,0.6378064333286099,66220,4.7,14.3,0.5,6.7,10.0,18.4,137.07120991911842,-21.834201556370157,-15.707286540619874,-261.14446870451235,13.344645550527881,17.184401562615324,2020-04-19,2020-06-06,48,307.39,549.34,241.95000000000005,5.040625000000001
42039,0.25680126165027506,0.8240000000000001,0.6664621785981011,86164,9.4,14.1,1.2,5.1,10.7,19.4,85.1169369788475,-29.80292633938394,-11.422355983304891,-310.2992238562091,16.822551312029105,18.82918721231285,2020-04-19,2020-05-23,34,18.68,24.51,5.830000000000002,0.17147058823529418
42041,0.3737386823209956,0.754,0.5679798054548295,247433,5.8,7.4,0.9,13.7,7.7,17.8,453.5901224829921,-23.453164995030466,-4.300071026002929,-935.1889567775515,19.80772592204159,33.248325196254804,2020-04-19,2020-06-06,48,73.0,266.72,193.72000000000003,4.035833333333334
42043,0.34385406238394634,0.6859999999999999,0.4650574607249832,274515,5.9,12.7,1.4,33.6,10.3,16.1,522.9789394156891,-28.0433493373082,-3.3138974050409296,-612.8392705682783,18.19867086393845,29.981426982204628,2020-04-19,2020-06-13,55,133.51,582.66,449.15,8.166363636363636
42045,0.3662949879075384,0.937,0.3718224396406325,563527,5.4,10.0,1.5,32.6,7.2,15.7,3065.669269101321,-30.58950490093691,13.246287175963031,-2146.5447154471544,21.110196804498386,41.0293468651014,2020-04-19,2020-06-20,62,435.74,1252.14,816.4000000000001,13.167741935483873
42047,0.2306263972099805,0.845,0.6949258283654512,30608,3.1,9.8,0.7,2.6,7.7,21.1,36.99473435494488,-17.998884635438515,2.1592541557946574,-358.7326120556414,18.771244666232697,19.49095239153312,2020-04-19,2020-05-23,34,6.59,19.78,13.190000000000001,0.3879411764705883
42049,0.3011564593746694,0.902,0.4856847160795285,275972,5.5,16.3,1.3,15.5,8.7,16.8,345.36053096896273,-16.805992897811095,-5.122025162952875,-402.5265214963706,17.260362694300515,24.475450276509797,2020-04-19,2020-05-23,34,21.18,76.69,55.51,1.6326470588235293
42051,0.26266919794756777,0.7390000000000001,0.6433314114605613,132289,5.3,17.7,1.8,8.1,11.4,20.1,167.3827487176085,-24.848239375870055,-1.855349901558626,-272.15355805243445,15.31531531531532,21.753923926249584,2020-04-19,2020-05-30,41,50.27,72.35,22.07999999999999,0.5385365853658535
42053,0.24834536099827265,0.8180000000000001,0.7009579341940858,7351,3.4,14.5,0.9,38.5,17.6,22.1,17.204589490207262,-17.100603724440713,-11.676832763187273,-208.57142857142864,12.864503398377568,13.645863648544164,2020-04-19,2020-05-23,34,95.72,95.72,0.0,0.0
42055,0.28575949375238274,0.855,0.7137141300139106,153751,9.8,10.3,1.3,11.6,12.6,18.8,199.10185425616768,-23.279394672833337,-6.714533048171935,-245.3543138514238,12.838182746299136,17.646950541198738,2020-04-19,2020-06-13,55,72.01,546.88,474.87,8.634
42057,0.22742018762936475,0.7889999999999999,0.8409392999556934,14506,6.9,11.4,0.9,3.8,12.7,20.6,33.15269372280292,-15.574696069806333,-11.861521570523472,-140.84595959595956,8.710976837865065,13.149187350191488,2020-04-19,2020-05-30,41,13.79,103.41,89.62,2.1858536585365855
42059,0.2609458999966897,0.599,0.6882136513575234,37144,5.2,14.2,1.0,6.5,12.6,18.0,64.49185096422245,-9.053962467453212,-4.102935097147586,-297.80835881753325,16.355665467625904,21.212411836318125,2020-04-19,2020-05-30,41,65.09,73.23,8.14,0.19853658536585367
42061,0.2558767929426643,0.715,0.7355120267938698,45421,5.3,13.3,1.1,9.2,10.9,20.0,51.93040899288084,-29.964753435297087,-16.501246558670992,-215.2710246713488,10.824820279984856,9.427373990443993,2020-04-19,2020-06-13,55,28.65,526.79,498.14,9.057090909090908
42063,0.26473385917231784,0.872,0.6589356632247816,85755,8.7,16.8,1.6,6.1,10.3,18.2,103.63509174027028,-28.99396611428068,-2.418515786088588,-207.0914033299355,13.6834685868861,13.788657698488793,2020-04-19,2020-05-30,41,59.98,107.02,47.04,1.1473170731707316
42065,0.23280655300130695,0.728,0.7799568744224253,44084,7.5,13.9,1.0,2.8,10.3,20.1,67.56880734823109,-25.25573118000453,0.6529773325326473,-233.32893114985023,16.857047798602654,14.866060166902358,2020-04-19,2020-05-23,34,4.56,15.96,11.400000000000002,0.3352941176470589
42067,0.2521948757301977,0.774,0.7913717237421083,24562,10.5,11.9,2.2,5.6,17.0,19.4,62.7621949817596,-49.690633699580175,-11.935881496594305,-410.2085620197583,13.429590017825316,22.429336401101686,2020-04-19,2020-06-06,48,284.28,389.86,105.58000000000004,2.1995833333333343
42069,0.31280521075080997,0.9490000000000001,0.4676770801113517,211454,5.0,15.1,1.5,14.2,9.1,19.3,460.9123375413677,-12.806825388760002,6.501816149762492,-704.8721071863582,17.502974315907313,29.74730221053893,2020-04-19,2020-06-20,62,301.92,769.99,468.07,7.549516129032258
42071,0.2989359054737393,0.8960000000000001,0.5719914396628952,538347,12.0,10.0,2.0,17.7,15.1,17.1,570.3639662485399,-25.92277946868137,-1.603733325991481,-598.9096573208724,18.196953595465807,30.357051415139484,2020-04-19,2020-06-20,62,219.59,729.95,510.36,8.231612903225807
42073,0.2824709249438156,0.804,0.6239540647314308,87382,5.1,14.1,0.9,7.9,9.8,21.1,243.9609999548803,-50.80611699594277,2.133941925834239,-634.7378277153557,18.34570519618241,30.408177084604826,2020-04-19,2020-05-23,34,68.03,85.33,17.299999999999997,0.5088235294117647
42075,0.2746447153816395,0.903,0.6552672002587113,138674,9.4,10.4,2.3,17.3,13.0,18.8,383.283460123412,-31.903844561346922,1.0739543076478213,-536.9306930693069,16.656048701068876,29.69760828588356,2020-04-19,2020-06-13,55,346.38,831.61,485.23,8.822363636363637
42077,0.3160301965920553,0.929,0.4577217643003112,362613,7.0,12.5,2.0,34.5,11.4,16.2,1050.434300236854,-21.710594124442924,5.979810216030692,-1146.5072463768115,19.381614442830465,36.54624937441,2020-04-19,2020-06-20,62,603.48,1115.46,511.98,8.257741935483871
42079,0.29512754326487395,0.915,0.5829474822755458,317884,5.5,14.9,1.2,17.3,10.7,19.4,357.0346575850437,-22.206829359746557,2.858562005665753,-573.785839672323,15.702566259991574,27.100386781820784,2020-04-19,2020-06-13,55,548.07,888.99,340.91999999999996,6.198545454545454
42081,0.2835616747902641,0.821,0.7045782655987343,114859,5.9,14.2,0.7,9.4,10.2,18.5,93.47620165277162,-13.63556026864616,-5.1937256742748685,-372.8070175438596,16.079632465543643,18.336674826154198,2020-04-19,2020-05-23,34,32.36,138.2,105.83999999999999,3.112941176470588
42083,0.2548281976339261,0.9540000000000001,0.7139788905252823,41806,4.8,16.8,0.9,6.5,8.9,18.5,42.694868257833626,-46.1622235934335,4.3147615544110565,-315.25423728813564,17.81274700007186,14.667484069402569,2020-04-19,2020-05-23,34,9.66,26.57,16.91,0.4973529411764706
42085,0.27205835880075896,0.835,0.6030319830239538,112630,6.4,14.2,1.6,9.8,10.2,20.7,167.45915426573245,-28.01667679427452,-10.168243299311273,-298.8786952089704,16.6813025978778,21.16388764092137,2020-04-19,2020-05-23,34,52.91,92.36,39.45,1.160294117647059
42087,0.2337734786676547,0.7380000000000001,0.7577011988602763,46362,12.5,14.4,1.6,4.0,14.8,20.8,112.7905525669772,-48.41981537950288,-12.93874874643213,-145.82838597324468,9.179650479548114,10.398897321835099,2020-04-19,2020-06-06,48,43.22,127.5,84.28,1.7558333333333334
